,link,problem,solution,letter,prompts
4916,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_2,"The sum of two nonzero real numbers is 4 times their product. What is the sum of the reciprocals of the two numbers?
$\textbf{(A)}\ 1\qquad\textbf{(B)}\ 2\qquad\textbf{(C)}\ 4\qquad\textbf{(D)}\ 8\qquad\textbf{(E)}\ 12$","Let $x, y$ be our two numbers. Then $x+y = 4xy$ . Thus,
$\frac{1}{x} + \frac{1}{y} = \frac{x+y}{xy} = 4$
$\boxed{4}$",C,"<s> [INST] The sum of two nonzero real numbers is 4 times their product. What is the sum of the reciprocals of the two numbers?
$\textbf{(A)}\ 1\qquad\textbf{(B)}\ 2\qquad\textbf{(C)}\ 4\qquad\textbf{(D)}\ 8\qquad\textbf{(E)}\ 12$ [/INST] Let $x, y$ be our two numbers. Then $x+y = 4xy$ . Thus,
$\frac{1}{x} + \frac{1}{y} = \frac{x+y}{xy} = 4$
$\boxed{4}$which gives answer letterC </s>"
4917,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_2,"The sum of two nonzero real numbers is 4 times their product. What is the sum of the reciprocals of the two numbers?
$\textbf{(A)}\ 1\qquad\textbf{(B)}\ 2\qquad\textbf{(C)}\ 4\qquad\textbf{(D)}\ 8\qquad\textbf{(E)}\ 12$","We can let $x=y.$ Then, we have that $2x=4x^2$ making $x=\tfrac{1}{2}.$ The answer is $\dfrac{2}{x}=4=\boxed{4}.$ Solasky talk",C,"<s> [INST] The sum of two nonzero real numbers is 4 times their product. What is the sum of the reciprocals of the two numbers?
$\textbf{(A)}\ 1\qquad\textbf{(B)}\ 2\qquad\textbf{(C)}\ 4\qquad\textbf{(D)}\ 8\qquad\textbf{(E)}\ 12$ [/INST] We can let $x=y.$ Then, we have that $2x=4x^2$ making $x=\tfrac{1}{2}.$ The answer is $\dfrac{2}{x}=4=\boxed{4}.$ Solasky talkwhich gives answer letterC </s>"
4918,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_4,"Jerry and Silvia wanted to go from the southwest corner of a square field to the northeast corner. Jerry walked due east and then due north to reach the goal, but Silvia headed northeast and reached the goal walking in a straight line. Which of the following is closest to how much shorter Silvia's trip was, compared to Jerry's trip?
$\textbf{(A)}\ 30\%\qquad\textbf{(B)}\ 40\%\qquad\textbf{(C)}\ 50\%\qquad\textbf{(D)}\ 60\%\qquad\textbf{(E)}\ 70\%$","Let $j$ represent how far Jerry walked, and $s$ represent how far Sylvia walked. Since the field is a square, and Jerry walked two sides of it, while Silvia walked the diagonal, we can simply define the side of the square field to be one, and find the distances they walked. Since Jerry walked two sides, $j = 2$ Since Silvia walked the diagonal, she walked the hypotenuse of a $45$ $45$ $90$ triangle with leg length $1$ . Thus, $s = \sqrt{2} = 1.414...$ We can then take $\frac{j-s}{j} \approx \frac{2 - 1.4}{2} = 0.3 = 30\%$ $\boxed{30}$",A,"<s> [INST] Jerry and Silvia wanted to go from the southwest corner of a square field to the northeast corner. Jerry walked due east and then due north to reach the goal, but Silvia headed northeast and reached the goal walking in a straight line. Which of the following is closest to how much shorter Silvia's trip was, compared to Jerry's trip?
$\textbf{(A)}\ 30\%\qquad\textbf{(B)}\ 40\%\qquad\textbf{(C)}\ 50\%\qquad\textbf{(D)}\ 60\%\qquad\textbf{(E)}\ 70\%$ [/INST] Let $j$ represent how far Jerry walked, and $s$ represent how far Sylvia walked. Since the field is a square, and Jerry walked two sides of it, while Silvia walked the diagonal, we can simply define the side of the square field to be one, and find the distances they walked. Since Jerry walked two sides, $j = 2$ Since Silvia walked the diagonal, she walked the hypotenuse of a $45$ $45$ $90$ triangle with leg length $1$ . Thus, $s = \sqrt{2} = 1.414...$ We can then take $\frac{j-s}{j} \approx \frac{2 - 1.4}{2} = 0.3 = 30\%$ $\boxed{30}$which gives answer letterA </s>"
4919,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_5,"At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$","All of the handshakes will involve at least one person from the $10$ who knows no one.  Label these ten people $A$ $B$ $C$ $D$ $E$ $F$ $G$ $H$ $I$ $J$
Person $A$ from the group of $10$ will initiate a handshake with everyone else ( $29$ people).  Person $B$ initiates $28$ handshakes plus the one already counted from person $A$ .  Person $C$ initiates $27$ new handshakes plus the two we already counted.  This continues until person $J$ initiates $20$ handshakes plus the nine we already counted from $A$ ... $I$
$29+28+27+26+25+24+23+22+21+20 = \boxed{245}$",B,"<s> [INST] At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$ [/INST] All of the handshakes will involve at least one person from the $10$ who knows no one.  Label these ten people $A$ $B$ $C$ $D$ $E$ $F$ $G$ $H$ $I$ $J$
Person $A$ from the group of $10$ will initiate a handshake with everyone else ( $29$ people).  Person $B$ initiates $28$ handshakes plus the one already counted from person $A$ .  Person $C$ initiates $27$ new handshakes plus the two we already counted.  This continues until person $J$ initiates $20$ handshakes plus the nine we already counted from $A$ ... $I$
$29+28+27+26+25+24+23+22+21+20 = \boxed{245}$which gives answer letterB </s>"
4920,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_5,"At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$","Let the group of people who all know each other be $A$ , and let the group of people who know no one be $B$ . Handshakes occur between each pair $(a,b)$ such that $a\in A$ and $b\in B$ , and between each pair of members in $B$ . Thus, the answer is
$|A||B|+{|B|\choose 2} = 20\cdot 10+{10\choose 2} = 200+45 = \boxed{245}$",B,"<s> [INST] At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$ [/INST] Let the group of people who all know each other be $A$ , and let the group of people who know no one be $B$ . Handshakes occur between each pair $(a,b)$ such that $a\in A$ and $b\in B$ , and between each pair of members in $B$ . Thus, the answer is
$|A||B|+{|B|\choose 2} = 20\cdot 10+{10\choose 2} = 200+45 = \boxed{245}$which gives answer letterB </s>"
4921,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_5,"At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$","The number of handshakes will be equivalent to the difference between the number of total interactions and the number of hugs, which are ${30\choose 2}$ and ${20\choose 2}$ , respectively. Thus, the total amount of handshakes  is ${30\choose 2} - {20\choose 2} = 435 - 190= \boxed{245}$",B,"<s> [INST] At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$ [/INST] The number of handshakes will be equivalent to the difference between the number of total interactions and the number of hugs, which are ${30\choose 2}$ and ${20\choose 2}$ , respectively. Thus, the total amount of handshakes  is ${30\choose 2} - {20\choose 2} = 435 - 190= \boxed{245}$which gives answer letterB </s>"
4922,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_5,"At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$","Each of the $10$ people who do not know anybody will shake hands with all $20$ of the people who do know each other. This means there will be at least $20 * 10 = 200$ handshakes. In addition, those $10$ people will also shake hands with each other, giving us another $9+8+7+6+5+4+3+2+1 = 45$ handshakes. Therefore, there is a total of $200+45 = \boxed{245}$ handshakes.",B,"<s> [INST] At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$ [/INST] Each of the $10$ people who do not know anybody will shake hands with all $20$ of the people who do know each other. This means there will be at least $20 * 10 = 200$ handshakes. In addition, those $10$ people will also shake hands with each other, giving us another $9+8+7+6+5+4+3+2+1 = 45$ handshakes. Therefore, there is a total of $200+45 = \boxed{245}$ handshakes.which gives answer letterB </s>"
4923,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_5,"At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$","Every one of the $20$ people who know each other will shake hands with each of the $10$ people who know no one, so there are $20\cdot 10 = 200$ handshakes here. Each of the $10$ people will also shake hands with each other, so there will be ${10 \choose 2}$ $=45$ handshakes for this case. In total, there are $200+45 = \boxed{245}$ handshakes.",B,"<s> [INST] At a gathering of $30$ people, there are $20$ people who all know each other and $10$ people who know no one. People who know each other hug, and people who do not know each other shake hands. How many handshakes occur?
$\textbf{(A)}\ 240\qquad\textbf{(B)}\ 245\qquad\textbf{(C)}\ 290\qquad\textbf{(D)}\ 480\qquad\textbf{(E)}\ 490$ [/INST] Every one of the $20$ people who know each other will shake hands with each of the $10$ people who know no one, so there are $20\cdot 10 = 200$ handshakes here. Each of the $10$ people will also shake hands with each other, so there will be ${10 \choose 2}$ $=45$ handshakes for this case. In total, there are $200+45 = \boxed{245}$ handshakes.which gives answer letterB </s>"
4924,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_6,"Joy has $30$ thin rods, one each of every integer length from $1 \text{ cm}$ through $30 \text{ cm}$ . She places the rods with lengths $3 \text{ cm}$ $7 \text{ cm}$ , and $15 \text{cm}$ on a table. She then wants to choose a fourth rod that she can put with these three to form a quadrilateral with positive area. How many of the remaining rods can she choose as the fourth rod?
$\textbf{(A)}\ 16 \qquad\textbf{(B)}\ 17 \qquad\textbf{(C)}\ 18 \qquad\textbf{(D)}\ 19  \qquad\textbf{(E)}\ 20$","The quadrilateral cannot be a straight line. Thus, the fourth side must be longer than $15 - (3 + 7) = 5$ and shorter than $15 + 3 + 7 = 25$ . This means Joy can use the $19$ possible integer rod lengths that fall into $[6, 24]$ . However, she has already used the rods of length $7$ cm and $15$ cm so the answer is $19 - 2 = 17$ $\boxed{17}$",B,"<s> [INST] Joy has $30$ thin rods, one each of every integer length from $1 \text{ cm}$ through $30 \text{ cm}$ . She places the rods with lengths $3 \text{ cm}$ $7 \text{ cm}$ , and $15 \text{cm}$ on a table. She then wants to choose a fourth rod that she can put with these three to form a quadrilateral with positive area. How many of the remaining rods can she choose as the fourth rod?
$\textbf{(A)}\ 16 \qquad\textbf{(B)}\ 17 \qquad\textbf{(C)}\ 18 \qquad\textbf{(D)}\ 19  \qquad\textbf{(E)}\ 20$ [/INST] The quadrilateral cannot be a straight line. Thus, the fourth side must be longer than $15 - (3 + 7) = 5$ and shorter than $15 + 3 + 7 = 25$ . This means Joy can use the $19$ possible integer rod lengths that fall into $[6, 24]$ . However, she has already used the rods of length $7$ cm and $15$ cm so the answer is $19 - 2 = 17$ $\boxed{17}$which gives answer letterB </s>"
4925,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_7,"Define a function on the positive integers recursively by $f(1) = 2$ $f(n) = f(n-1) + 1$ if $n$ is even, and $f(n) = f(n-2) + 2$ if $n$ is odd and greater than $1$ . What is $f(2017)$
$\textbf{(A)}\ 2017 \qquad\textbf{(B)}\ 2018 \qquad\textbf{(C)}\ 4034 \qquad\textbf{(D)}\ 4035 \qquad\textbf{(E)}\ 4036$","This is a recursive function, which means the function refers back to itself to calculate subsequent terms. To solve this, we must identify the base case, $f(1)=2$ . We also know that when $n$ is odd, $f(n)=f(n-2)+2$ . Thus we know that $f(2017)=f(2015)+2$ . Thus we know that n will always be odd in the recursion of $f(2017)$ , and we add $2$ each recursive cycle, which there are $1008$ of. Thus the answer is $1008*2+2=2018$ , which is answer $\boxed{2018}$ .
Note that when you write out a few numbers, you find that $f(n)=n+1$ for any $n$ , so $f(2017)=2018$",B,"<s> [INST] Define a function on the positive integers recursively by $f(1) = 2$ $f(n) = f(n-1) + 1$ if $n$ is even, and $f(n) = f(n-2) + 2$ if $n$ is odd and greater than $1$ . What is $f(2017)$
$\textbf{(A)}\ 2017 \qquad\textbf{(B)}\ 2018 \qquad\textbf{(C)}\ 4034 \qquad\textbf{(D)}\ 4035 \qquad\textbf{(E)}\ 4036$ [/INST] This is a recursive function, which means the function refers back to itself to calculate subsequent terms. To solve this, we must identify the base case, $f(1)=2$ . We also know that when $n$ is odd, $f(n)=f(n-2)+2$ . Thus we know that $f(2017)=f(2015)+2$ . Thus we know that n will always be odd in the recursion of $f(2017)$ , and we add $2$ each recursive cycle, which there are $1008$ of. Thus the answer is $1008*2+2=2018$ , which is answer $\boxed{2018}$ .
Note that when you write out a few numbers, you find that $f(n)=n+1$ for any $n$ , so $f(2017)=2018$which gives answer letterB </s>"
4926,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_11,"Claire adds the degree measures of the interior angles of a convex polygon and arrives at a sum of $2017$ . She then discovers that she forgot to include one angle. What is the degree measure of the forgotten angle?
$\textbf{(A)}\ 37\qquad\textbf{(B)}\ 63\qquad\textbf{(C)}\ 117\qquad\textbf{(D)}\ 143\qquad\textbf{(E)}\ 163$","We know that the sum of the interior angles of the polygon is a multiple of $180$ . Note that $\left\lceil\frac{2017}{180}\right\rceil = 12$ and $180\cdot 12 = 2160$ , so the angle Claire forgot is $\equiv 2160-2017=143\mod 180$ . Since the polygon is convex, the angle is $\leq 180$ , so the answer is $\boxed{143}$",D,"<s> [INST] Claire adds the degree measures of the interior angles of a convex polygon and arrives at a sum of $2017$ . She then discovers that she forgot to include one angle. What is the degree measure of the forgotten angle?
$\textbf{(A)}\ 37\qquad\textbf{(B)}\ 63\qquad\textbf{(C)}\ 117\qquad\textbf{(D)}\ 143\qquad\textbf{(E)}\ 163$ [/INST] We know that the sum of the interior angles of the polygon is a multiple of $180$ . Note that $\left\lceil\frac{2017}{180}\right\rceil = 12$ and $180\cdot 12 = 2160$ , so the angle Claire forgot is $\equiv 2160-2017=143\mod 180$ . Since the polygon is convex, the angle is $\leq 180$ , so the answer is $\boxed{143}$which gives answer letterD </s>"
4927,https://artofproblemsolving.com/wiki/index.php/2017_AMC_12A_Problems/Problem_12,"There are $10$ horses, named Horse 1, Horse 2, $\ldots$ , Horse 10. They get their names from how many minutes it takes them to run one lap around a circular race track: Horse $k$ runs one lap in exactly $k$ minutes. At time 0 all the horses are together at the starting point on the track. The horses start running in the same direction, and they keep running around the circular track at their constant speeds. The least time $S > 0$ , in minutes, at which all $10$ horses will again simultaneously be at the starting point is $S = 2520$ . Let $T>0$ be the least time, in minutes, such that at least $5$ of the horses are again at the starting point. What is the sum of the digits of $T$
$\textbf{(A)}\ 2\qquad\textbf{(B)}\ 3\qquad\textbf{(C)}\ 4\qquad\textbf{(D)}\ 5\qquad\textbf{(E)}\ 6$","We know that Horse $k$ will be at the starting point after $n$ minutes if $k|n$ . Thus, we are looking for the smallest $n$ such that at least $5$ of the numbers $\{1,2,\cdots,10\}$ divide $n$ . Thus, $n$ has at least $5$ positive integer divisors.
We quickly see that $12$ is the smallest number with at least $5$ positive integer divisors and that $1,2,3,4,6$ are each numbers of horses. Thus, our answer is $1+2=\boxed{3}$",B,"<s> [INST] There are $10$ horses, named Horse 1, Horse 2, $\ldots$ , Horse 10. They get their names from how many minutes it takes them to run one lap around a circular race track: Horse $k$ runs one lap in exactly $k$ minutes. At time 0 all the horses are together at the starting point on the track. The horses start running in the same direction, and they keep running around the circular track at their constant speeds. The least time $S > 0$ , in minutes, at which all $10$ horses will again simultaneously be at the starting point is $S = 2520$ . Let $T>0$ be the least time, in minutes, such that at least $5$ of the horses are again at the starting point. What is the sum of the digits of $T$
$\textbf{(A)}\ 2\qquad\textbf{(B)}\ 3\qquad\textbf{(C)}\ 4\qquad\textbf{(D)}\ 5\qquad\textbf{(E)}\ 6$ [/INST] We know that Horse $k$ will be at the starting point after $n$ minutes if $k|n$ . Thus, we are looking for the smallest $n$ such that at least $5$ of the numbers $\{1,2,\cdots,10\}$ divide $n$ . Thus, $n$ has at least $5$ positive integer divisors.
We quickly see that $12$ is the smallest number with at least $5$ positive integer divisors and that $1,2,3,4,6$ are each numbers of horses. Thus, our answer is $1+2=\boxed{3}$which gives answer letterB </s>"
